7486_7	7486_8	7486_9	7486_10	7486_17	7486_18	7486_19	7486_20
RNU6-1199P	0	0	0	0	0	0	0	0
RP11-206L10.4	0	0	0	0	0	0	0	0
RP11-206L10.9	204	176	225	230	189	169	185	136
RP11-206L10.18	0	0	0	0	0	0	0	0
RP11-206L10.8	48	54	42	45	34	51	22	28
FAM87B	18	14	18	15	10	22	16	5
RP11-206L10.11	1220	1101	1321	1575	1105	1037	1082	815
NCRNA00115	131	109	105	153	98	81	67	97
FAM41C	0	1	0	1	0	0	0	0
TUBB8P11	1	0	0	0	0	0	0	0
FAM166AP3	0	0	0	1	0	0	0	0
RP11-54O7.16	0	0	0	0	0	0	0	0
RP11-54O7.1	1	1	0	1	0	0	0	0
RP11-54O7.2	0	0	0	0	0	0	0	0
RP11-54O7.3	2	6	4	4	0	4	1	3
SAMD11	3	10	5	10	1	1	0	3
NOC2L	4843	4509	5264	5958	4325	4277	4457	3524
KLHL17	1934	2316	2041	3257	1613	2334	1742	1906
PLEKHN1	309	527	336	760	288	907	323	701
PERM1	60	118	74	185	69	199	90	149
RP11-54O7.17	1	5	0	6	0	4	1	2
HES4	4	11	5	26	3	24	3	26
ISG15	1689	2281	1748	3146	2840	7804	2935	5983
RP11-54O7.10	0	0	0	0	0	0	0	0
RP11-54O7.11	3	2	1	4	4	4	3	1
AGRN	738	3477	765	4608	892	2587	923	2142
RP11-54O7.14	0	0	0	0	0	0	0	0
RP11-465B22.3	1316	7726	1420	10320	573	5357	633	4169
RP11-54O7.18	251	1625	300	2251	93	1203	80	1068
RNF223	4	49	5	44	5	29	2	20
C1orf159	1442	2005	1541	2775	1593	2458	1816	2005
RP11-465B22.5	0	1	0	4	3	4	2	5
MIR200B	0	0	0	0	0	0	0	0
MIR200A	0	2	0	0	0	0	1	0
MIR429	1	0	0	1	0	0	0	2
RP11-465B22.8	2	1	0	5	2	0	1	1
RP11-465B22.6	3	6	2	8	5	15	8	18
TTLL10	21	26	17	21	33	96	30	65
TNFRSF18	843	3389	923	4431	1241	5972	1482	4851
TNFRSF4	668	1478	721	1937	1138	2695	1256	2172
SDF4	7825	8805	8513	12268	7572	11205	8300	9154
B3GALT6	1721	1297	1621	1677	1568	1667	1652	1414
C1QTNF12	114	69	102	87	70	57	62	51
RP5-902P8.12	41	26	33	37	40	25	41	36
UBE2J2	3293	3032	3581	4174	3148	3548	3313	2888
RP5-902P8.10	29	23	30	38	75	63	53	58
SCNN1D	292	373	318	434	556	769	560	662
ACAP3	10843	9620	11825	12717	9034	10758	9699	8919
MIR6726	0	0	0	0	0	0	0	0
PUSL1	341	303	365	424	478	465	559	411
INTS11	7355	6499	7816	8954	6894	7076	7432	5942
MIR6727	0	0	0	0	0	0	0	0
RP5-890O3.9	285	285	323	392	275	296	271	262
CPTP	1272	976	1292	1137	1267	1259	1378	951
TAS1R3	179	111	196	191	99	79	108	50
DVL1	2980	2853	3008	3953	2336	2978	2517	2488
MIR6808	0	0	0	0	0	0	0	0
MXRA8	187	140	212	234	373	357	406	267
AURKAIP1	2343	2449	2573	3270	2723	3197	3053	2764
RP5-890O3.3	8	1	0	5	4	3	3	4
CCNL2	15939	13361	17030	18345	12121	12117	13331	9678
RP4-758J18.2	1518	991	1599	1327	1483	1159	1413	954
MRPL20	2311	2270	2551	2891	2362	2529	2553	2141
RN7SL657P	0	0	0	0	0	0	0	0
RP4-758J18.13	386	364	490	475	309	269	356	214
ANKRD65	0	4	2	2	0	1	0	0
RP4-758J18.7	0	2	0	0	0	0	0	0
TMEM88B	0	1	0	4	0	0	0	0
RP4-758J18.10	0	0	0	1	0	3	0	0
VWA1	6	20	10	52	3	17	7	21
ATAD3C	36	26	51	31	39	41	36	25
ATAD3B	3539	3056	3806	4330	3519	2967	3960	2682
RP5-832C2.8	8	6	10	12	10	9	6	3
ATAD3A	1730	1555	1846	2038	2054	2017	2234	1574
TMEM240	21	33	27	31	11	15	23	23
SSU72	5214	4558	5561	5951	5146	4766	5479	3917
RP5-832C2.5	28	25	26	34	22	16	21	18
RP11-345P4.11	2	0	0	0	0	0	0	0
C1orf233	364	165	370	231	648	479	739	385
RP11-345P4.9	387	378	441	440	254	337	336	301
MIB2	3948	2724	4247	3754	2755	2168	3148	1812
MMP23B	5	2	0	5	1	2	2	0
CDK11B	3210	2773	3393	3748	3292	3426	3575	2802
RP11-345P4.10	0	4	2	1	3	1	2	3
SLC35E2B	7343	4329	7831	5901	6329	4994	6434	3863
RP11-345P4.6	294	213	278	305	203	182	212	124
MMP23A	14	1	11	5	12	2	9	4
CDK11A	573	394	590	547	434	460	481	381
RP1-283E3.8	503	278	559	315	495	335	496	311
RP1-283E3.4	151	62	156	79	152	105	168	84
SLC35E2	2349	1032	2786	1528	2508	1635	2701	1371
NADK	3114	2457	3375	3182	3394	3527	3633	2897
GNB1	15412	13901	16261	18396	16099	17339	16094	13425
RP1-140A9.1	5	5	8	6	9	3	14	5
CALML6	18	12	32	33	46	33	61	47
TMEM52	7	5	4	4	9	6	4	2
CFAP74	0	2	0	0	0	0	0	0
RP11-547D24.1	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	2	0	0
RP11-547D24.3	0	0	0	0	0	0	0	0
PRKCZ	241	272	254	357	252	206	257	150
RP5-892K4.1	4	5	7	9	3	3	0	6
RP11-181G12.2	141	116	195	212	143	108	146	85
FAAP20	2250	1899	2541	2650	1979	2076	2274	1676
RP11-181G12.4	0	3	0	1	3	1	0	0
SKI	10543	9037	11135	11960	8224	9848	8698	7579
MORN1	150	109	159	165	214	184	238	151
RP4-713A8.1	0	0	2	0	3	3	0	0
RP4-740C4.5	34	26	34	25	59	50	74	37
RP4-740C4.7	11	14	16	15	16	7	27	11
RER1	6230	5534	6817	7316	5515	5851	5654	4678
PEX10	387	206	447	289	303	234	341	203
PLCH2	1694	982	1876	1311	2027	1479	2321	1145
RP3-395M20.2	19	20	25	9	33	17	26	28
RP3-395M20.3	17	13	21	12	39	22	32	38
PANK4	2786	1683	3042	2273	2571	2476	2740	1958
HES5	3	0	2	0	6	7	6	2
RP3-395M20.12	198	92	216	193	189	165	203	130
RP3-395M20.8	770	268	918	392	1804	1429	1884	1110
TNFRSF14	14569	8737	15831	12661	12238	12259	13453	10140
RP3-395M20.7	64	34	64	43	134	65	98	56
RP3-395M20.9	138	36	151	62	102	49	105	41
FAM213B	2841	1924	3048	2550	2053	1845	2070	1370
MMEL1	28	20	47	27	50	29	49	29
RP13-436F16.1	0	0	0	0	0	0	0	0
TTC34	73	34	82	53	71	48	93	64
ABC14-1188822O7.1	0	0	0	5	0	0	0	1
RP11-740P5.2	0	0	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0	0
RP5-907A6.1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
RP1-163G9.1	3	1	11	0	11	2	7	1
PRDM16	14	14	25	16	36	21	48	19
MIR4251	0	0	0	0	0	0	0	0
RP1-163G9.2	0	0	0	0	0	0	0	1
RP11-193J6.1	0	0	0	0	0	0	0	0
RP11-22L13.1	0	0	0	0	0	0	0	0
ARHGEF16	6	5	8	2	6	2	8	4
RP11-168F9.2	0	0	1	1	0	0	3	0
MEGF6	3954	673	4290	942	3110	1088	3430	940
MIR551A	0	0	0	0	0	0	0	0
RP11-46F15.2	131	26	125	41	66	38	75	35
TPRG1L	1922	1262	2030	1659	1574	1302	1620	996
WRAP73	2885	2241	3221	3072	3153	3168	3252	2680
TP73	17	24	40	17	462	536	429	425
RP5-1092A11.5	0	0	0	0	1	0	0	0
RP5-1092A11.2	0	0	0	1	2	8	5	1
TP73-AS1	1518	1141	1604	1523	1767	1383	1830	1048
RF02197	0	0	0	0	0	0	0	0
CCDC27	2	0	0	0	0	8	2	0
SMIM1	4	1	2	6	2	2	3	1
LRRC47	3030	2165	3205	3049	2517	2150	2659	1809
RN7SL574P	7	7	5	9	6	6	9	3
RP1-286D6.5	117	94	132	143	107	81	110	79
CEP104	3762	3324	3964	4511	2706	3019	2746	2253
DFFB	947	666	1100	756	1008	783	1047	643
C1orf174	2261	1704	2515	2466	2353	2068	2383	1649
RP13-15E13.1	66	51	65	75	54	86	50	54
RP13-614K11.1	0	1	2	4	0	0	0	0
RP13-614K11.2	2	0	0	0	0	0	0	1
RP11-718D19.1	1	0	0	0	0	0	0	0
RP11-718D19.2	1	0	0	0	0	0	0	2
RP11-374C13.1	0	0	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0	0	0
RP5-1166F10.2	0	0	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0	0	0
AJAP1	3	0	1	1	13	5	7	0
RP4-603B14.2	0	0	0	0	0	0	0	0
RP4-603B14.1	0	0	0	0	0	0	0	0
RP11-542C10.1	0	0	0	1	0	0	0	0
RP4-703E10.1	0	0	0	0	0	0	0	0
RP1-58B11.2	0	0	0	0	0	0	0	0
RP1-58B11.3	0	0	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0	0
RP3-491M17.1	0	0	0	0	1	0	0	0
RP11-154H17.1	13	7	18	4	30	14	31	11
MIR4417	2	0	0	4	5	2	1	0
MIR4689	0	0	0	0	0	1	1	2
NPHP4	990	1338	1194	1785	1723	2174	1869	1791
KCNAB2	19865	14037	21813	19739	18887	17056	20015	13500
CHD5	46	29	34	44	58	57	54	42
RPL22	12858	7802	14582	10400	13393	8329	13251	6662
RP1-120G22.11	11	0	8	1	11	7	12	11
RNF207	458	433	470	486	1062	1257	1090	1022
ICMT	2051	1678	2346	2200	4327	4362	4100	3128
LINC00337	7	3	3	4	15	20	10	16
HES3	0	0	0	0	0	0	0	0
GPR153	37	29	39	27	71	137	100	95
ACOT7	810	1499	785	1921	3078	3715	3447	3273
RP1-202O8.3	0	0	0	0	0	0	0	0
HES2	14	22	10	35	21	86	22	50
ESPN	742	191	821	255	561	272	584	265
MIR4252	0	0	0	0	0	0	0	0
RP1-202O8.2	0	0	3	0	5	1	3	0
TNFRSF25	28042	13521	31103	18048	17088	10267	18455	8702
PLEKHG5	579	385	604	548	473	413	559	367
NOL9	2761	1843	3474	2576	2452	2051	2422	1577
RNU6-731P	0	0	0	0	1	0	0	0
RP11-58A11.2	28	21	23	9	25	21	22	13
TAS1R1	1	2	0	1	0	0	4	0
ZBTB48	2160	2058	2484	2856	1923	2206	1990	1815
KLHL21	3781	2463	4045	3228	3124	2673	3330	2073
PHF13	967	892	928	1165	1632	1436	1460	1068
THAP3	779	788	873	1031	753	891	913	807
DNAJC11	2123	1606	2251	2179	1894	1574	1883	1214
RP11-242F24.1	0	0	0	0	0	0	0	0
RP11-242F24.2	0	1	0	0	0	1	0	0
RP11-312B8.1	28	15	20	20	19	18	24	14
CAMTA1	475	428	512	577	544	618	615	445
RP11-312B8.2	0	0	0	0	0	0	0	0
RP11-334N17.1	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0
RP3-453P22.1	0	0	0	0	0	1	0	1
RP3-453P22.2	0	0	0	0	0	0	0	0
RP4-549F15.1	0	0	0	0	0	0	0	0
RP11-338N10.1	0	0	0	0	0	0	0	0
RP11-338N10.2	0	0	0	0	0	0	0	0
RP11-338N10.3	0	0	0	0	0	0	1	0
VAMP3	1939	1419	1937	2048	1793	1707	1804	1325
RP3-467L1.6	54	56	47	69	82	52	100	52
PER3	302	150	345	209	280	206	276	163
RP3-467L1.4	3	4	4	6	3	3	8	6
UTS2	10	2	6	0	3	3	7	3
TNFRSF9	46	375	53	457	71	299	53	242
RP5-892F13.2	0	0	0	0	0	0	0	0
PARK7	5384	5380	6096	6810	6078	6528	6278	5507
RF00019	871	822	1034	1079	857	1010	932	763
CTA-215D11.6	86	59	87	102	89	84	108	93
CTA-215D11.5	1	1	6	9	3	8	3	2
ERRFI1	42	76	37	79	50	100	44	100
RP11-431K24.1	0	0	0	0	0	0	0	0
CTA-215D11.4	2	0	0	0	0	0	0	0
RP11-431K24.2	0	0	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0
SLC45A1	38	72	36	118	31	98	44	59
RERE	5636	4838	6007	6578	5380	5227	5713	4258
RP5-1115A15.1	45	25	50	42	55	34	60	23
RF00599	0	1	0	1	0	0	0	0
RP5-1115A15.2	0	0	0	0	0	0	0	0
RP4-633I8.1	0	0	0	1	0	0	0	0
RP4-633I8.2	0	1	0	0	0	0	0	0
RP4-633I8.3	1	0	0	0	0	0	0	0
RP4-633I8.4	0	0	0	0	0	0	0	1
RP11-185B14.1	0	0	0	0	0	0	0	1
ENO1	79463	127520	86188	174297	76534	114563	82145	90351
MIR6728	5	10	10	16	7	8	2	6
RP3-477M7.3	7	14	26	27	23	30	18	23
RNU6-304P	6	7	5	8	5	3	2	1
RP3-477M7.4	135	78	149	115	56	57	69	36
RP3-477M7.5	939	564	956	772	427	292	345	217
RP3-477M7.6	69	38	71	35	12	6	18	7
CA6	2554	1350	3053	1776	1446	990	1496	694
RN7SL451P	3	0	1	3	2	0	1	1
SLC2A7	12	4	4	4	7	5	6	1
SLC2A5	10	54	7	68	2	15	8	7
RF00424	0	0	0	1	0	0	0	0
GPR157	938	4061	972	5277	406	1381	440	1251
MIR34AHG	6483	4885	7205	6305	3082	4341	3466	3682
MIR34A	0	0	0	0	0	0	0	0
RP3-510D11.2	158	90	130	138	63	102	82	106
H6PD	3619	2749	3972	3777	3003	2938	3124	2220
SPSB1	234	736	277	984	525	841	580	615
CTD-2510L9.2	0	0	0	2	0	1	1	0
CTD-2510L9.1	1	0	0	4	0	2	4	2
RNA5SP40	0	0	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	0	0	0
SLC25A33	388	486	418	528	392	470	379	360
RP13-15M17.1	15	13	24	25	21	27	16	22
TMEM201	580	482	699	646	1167	1095	1244	779
PIK3CD	29769	16180	30573	21539	20969	17073	21562	13632
C1orf200	15	24	39	18	15	16	21	18
RP11-558F24.2	1	0	0	1	2	1	0	0
RP11-558F24.4	8	11	9	8	6	6	3	12
CLSTN1	7977	5802	8878	7907	12314	11671	12483	8906
RP11-558F24.6	0	0	0	0	0	0	0	1
RP11-84A14.7	0	0	4	0	1	1	0	0
CTNNBIP1	341	376	370	431	499	538	478	429
RP11-84A14.5	0	0	0	0	0	0	0	0
LZIC	1025	771	924	972	941	982	983	695
RP11-84A14.4	19	11	9	20	11	9	13	16
NMNAT1	352	301	372	479	444	584	421	441
RN7SKP269	0	0	1	0	2	2	2	2
RP11-84A14.6	0	1	0	0	1	1	1	0
MIR5697	2	0	0	1	0	1	1	0
RP11-807G9.2	0	0	0	0	0	0	0	0
RBP7	0	1	2	2	0	0	0	0
UBE4B	3224	2557	3446	3233	3415	3238	3095	2454
RP11-496H15.2	0	1	7	0	2	0	1	0
RP11-496H15.3	11	10	10	5	3	6	10	2
RNU6-828P	1	0	0	4	0	4	3	1
KIF1B	1066	1586	1242	2146	1470	2336	1336	1671
MIR1273D	0	0	0	0	0	0	0	0
RNU6-37P	0	2	0	1	0	0	1	0
RN7SL731P	0	0	0	0	0	0	0	0
RP4-736L20.4	9	15	8	11	14	16	11	16
RP4-736L20.5	24	45	36	66	18	39	48	38
PGD	5454	6710	6286	9232	3942	4091	4212	3224
RP4-736L20.3	1	0	1	0	2	1	2	0
APITD1-CORT	11	13	11	11	6	4	5	7
CENPS	26	14	17	12	78	69	97	67
CORT	9	14	17	17	20	24	24	26
DFFA	2167	1603	2392	2209	2230	2140	2234	1515
RP5-1113E3.3	0	0	0	0	0	0	0	0
PEX14	966	831	1108	1113	1108	1123	1164	862
RN7SL614P	2	1	2	4	0	3	0	1
CASZ1	363	326	403	490	414	594	431	455
RP4-734G22.3	58	60	48	94	46	88	45	84
RP11-340B24.3	0	0	0	0	0	0	0	0
C1orf127	0	5	1	4	3	3	0	8
CFLP6	1	4	3	3	7	1	3	3
TARDBP	5973	4040	6453	5244	5748	4638	6069	3455
RP4-635E18.9	0	0	0	0	0	0	0	0
MASP2	498	412	672	545	363	285	348	214
RP4-635E18.8	253	192	264	273	174	137	191	90
SRM	2811	2216	3055	3091	2985	3016	3460	2511
EXOSC10	4308	3702	4623	5100	4286	4195	4466	3386
RP4-635E18.7	34	25	48	49	43	35	43	33
RP4-635E18.6	5	2	3	5	0	1	2	3
MTOR	5278	4720	5751	6353	5556	5735	5601	4404
RP11-99P18.1	1	2	1	3	0	1	1	0
RNU6-537P	0	0	0	0	0	0	0	0
ANGPTL7	0	1	2	2	1	0	2	1
RNU6-291P	1	1	0	0	1	0	1	0
RP4-647M16.1	0	0	0	0	0	0	0	0
UBIAD1	2259	1472	2371	2000	1783	1438	1824	1081
RP4-796F18.2	18	3	12	12	3	4	6	8
RP4-796F18.3	0	1	0	0	0	1	0	1
RP11-149P14.1	0	0	0	0	0	0	0	0
DISP3	195	260	222	299	153	170	182	107
RP1-69M21.2	0	0	0	0	0	0	0	1
RP3-330O12.5	0	3	1	4	0	0	5	0
FBXO2	81	165	104	262	144	300	135	238
FBXO44	3031	3182	3371	4344	2773	3704	2915	3141
FBXO6	747	787	792	1070	1284	1748	1337	1475
MAD2L2	1078	1172	1208	1566	1585	2142	1828	1721
DRAXIN	119	33	118	54	192	437	154	313
AGTRAP	727	432	693	624	863	1286	870	1004
C1orf167	0	2	0	3	1	0	0	0
RP11-56N19.5	0	0	0	0	0	0	0	0
MTHFR	1816	2317	1928	3016	1389	1870	1411	1434
CLCN6	1348	2091	1341	2713	911	1577	937	1206
NPPA-AS1	6	31	8	26	7	24	9	10
RF02156	0	0	0	0	0	0	0	0
RF02157	0	0	0	0	0	0	0	0
NPPA	7	19	4	28	9	12	14	9
RF02158	0	0	0	0	0	0	0	0
NPPB	0	0	0	0	0	0	0	0
RP5-934G17.6	0	0	0	0	0	0	0	0
RNU5E-1	0	0	1	0	0	0	0	3
RNU5E-4P	0	1	0	0	0	1	1	0
KIAA2013	2554	2206	2833	2868	2472	2712	2709	2241
PLOD1	563	776	574	999	747	1419	746	1191
MFN2	3825	3998	4180	5437	4100	5060	4008	3909
RP5-1077B9.5	0	0	0	0	0	0	0	0
MIIP	4843	7404	5386	10102	4224	10966	4912	9412
MIR6729	0	0	0	0	0	0	0	0
RN7SL649P	3	0	0	0	0	0	0	0
TNFRSF8	151	81	137	108	612	1544	571	1219
RNU6-777P	0	0	0	0	0	0	0	0
RP11-426M1.2	0	0	0	0	0	1	0	0
MIR7846	0	0	0	1	1	0	0	0
TNFRSF1B	18750	22502	20292	30242	14400	27156	14958	21144
MIR4632	2	3	3	7	2	5	0	3
RP5-1118D24.2	0	2	0	0	0	0	3	0
RF00156	6	4	3	7	7	11	10	12
VPS13D	5577	4181	5719	5042	4230	4077	4064	2857
SNORA59A	12	4	11	5	5	4	4	4
RP5-888M10.2	37	17	31	21	24	28	22	15
DHRS3	8125	7723	9123	10744	3721	5323	4137	4348
RNU6ATAC18P	37	56	40	81	38	23	28	30
MIR6730	11	17	26	28	4	14	5	6
RP11-474O21.5	24	40	23	64	18	13	7	22
AADACL4	0	0	0	1	0	0	0	1
RP11-474O21.2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0
PRAMEF12	0	1	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
RP5-845O24.8	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
RP5-845O24.3	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	2	2	0	2	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0	0	0
RP11-450I1.2	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
CH17-409J4.2	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
WI2-2994D6.1	0	0	0	0	0	0	0	0
RP13-221M14.4	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
RP13-221M14.3	0	0	0	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
RP11-450I1.4	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
RP11-219C24.8	0	0	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
RP11-219C24.6	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
RP11-219C24.10	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0
RP4-597A16.2	0	0	0	0	0	0	0	0
RP4-597A16.3	0	0	0	1	0	0	0	0
PDPN	0	0	0	0	0	0	0	0
RNA5SP41	0	0	0	0	0	0	0	0
CTA-520D8.2	0	0	0	0	0	0	0	0
RF00564	0	0	0	0	0	5	2	0
PRDM2	4260	3012	4364	3795	4081	3744	4055	2784
KAZN	17	13	10	19	7	12	5	10
RNU6-1265P	0	0	0	0	0	0	0	0
RP11-344F13.1	0	0	0	0	0	0	1	0
RP4-704D23.1	0	0	0	0	0	0	0	1
RP3-410I8.1	0	0	0	0	0	0	0	0
TMEM51-AS1	0	0	0	0	0	0	0	0
TMEM51	0	3	4	4	13	23	11	22
C1orf195	0	0	0	0	0	0	0	0
RP1-21O18.3	0	0	0	0	0	0	0	0
RP5-903E17.2	0	0	0	0	0	0	0	0
FHAD1	1	2	0	2	4	11	7	4
RP3-467K16.2	0	0	0	0	0	0	1	1
RP3-467K16.7	0	0	2	0	0	0	1	0
RP3-467K16.4	2	1	1	0	7	4	14	13
EFHD2	4060	3495	4321	4637	6069	7637	6202	6127
CTRC	27	50	32	65	11	22	16	21
CELA2A	6	3	1	5	0	3	2	2
CELA2B	6	10	12	13	8	24	12	9
CASP9	811	785	770	1096	1019	1343	1103	1097
DNAJC16	2091	1232	2219	1544	1787	1332	1789	965
SCARNA21B	3	0	0	0	0	0	0	0
RP4-680D5.8	9	4	9	4	9	10	11	7
AGMAT	795	227	984	292	1182	597	1134	469
RP4-680D5.2	203	51	186	83	158	68	155	54
RP4-680D5.3	7	0	7	3	3	8	8	5
RNU7-179P	0	0	0	0	0	0	0	0
RP4-680D5.4	1	0	0	0	0	0	0	0
DDI2	3324	2631	3512	3359	2938	3204	2707	2316
RSC1A1	0	0	0	0	0	0	0	0
RP4-680D5.9	0	0	0	0	0	0	0	0
PLEKHM2	5012	4405	5268	6147	4253	5007	4628	3916
RP11-288I21.1	69	71	73	74	46	60	43	51
SLC25A34	86	132	127	245	209	212	246	174
RP11-169K16.4	0	0	0	0	0	0	0	0
TMEM82	0	0	1	0	0	0	0	1
FBLIM1	8	5	2	10	4	6	3	6
RP11-169K16.6	1	0	0	2	1	0	1	0
UQCRHL	214	147	224	195	218	246	224	169
RP11-169K16.8	15	5	10	7	6	10	10	9
RP11-169K16.9	241	165	306	267	269	223	303	180
SPEN	8899	8282	9256	10797	8694	9619	8643	7069
RP1-134O19.3	1	0	0	0	0	0	0	0
ZBTB17	1925	1686	2143	2464	1843	2081	1940	1796
RP11-5P18.1	2	1	3	2	0	2	0	0
RP11-5P18.3	0	0	0	0	0	0	0	0
RP11-5P18.11	0	0	0	0	0	0	0	0
RP11-5P18.2	0	0	2	0	0	0	1	0
C1orf64	0	1	0	0	0	1	0	0
RP11-5P18.5	0	0	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	1	0	5	5
RP11-5P18.10	0	0	1	0	1	3	2	4
CLCNKB	0	0	0	0	0	0	0	0
FAM131C	2	0	2	2	11	13	6	3
EPHA2	7	7	2	6	5	8	3	3
RP11-276H7.2	1	0	0	0	0	0	0	0
RP11-276H7.3	0	0	0	1	2	0	0	0
RP4-733M16.2	0	0	0	0	0	0	0	0
ARHGEF19	664	352	778	479	636	457	560	340
ANO7P1	23	19	12	21	15	25	28	9
RSG1	138	111	150	141	163	222	195	109
MTL1	7	6	3	6	2	2	2	9
FBXO42	1510	1591	1698	2025	1585	1912	1649	1378
SZRD1	4567	5239	4988	7038	5452	6706	5242	5121
RP11-430L17.1	4	2	5	7	0	1	4	2
SPATA21	8	6	3	9	4	0	6	0
NECAP2	10865	7163	11577	9751	7719	6877	8163	5201
RP4-798A10.2	127	95	136	95	97	59	100	76
CROCCP3	536	377	606	479	475	407	503	306
RNU1-1	0	0	0	0	0	1	0	2
RP4-798A10.7	5	3	4	14	4	8	5	1
RP4-798A10.4	0	0	0	0	0	0	0	0
RP5-875O13.1	0	0	0	2	3	2	6	2
RNU1-6P	0	0	0	0	0	0	0	0
RP5-875O13.6	0	0	0	0	0	0	0	0
NBPF1	417	496	436	638	312	335	313	260
